Age;Species;CCI;LA;SLA;LDMC;LNC;LPC;LCC;CN;PN;Crown;Height;Basal
05 y;Cb;71,6;34,19;87,26;359,51;1,43;0,06;56,24;39,41;0,04;4,15;3;0,0014
05 y;Cb;57,3;50,86;94;351,07;1,24;0,07;55,79;45,14;0,05;2,94;3,8;0,0012
05 y;Cb;66,3;41,07;79,22;399,7;1,43;0,07;56;39,24;0,05;1,33;2,9;0,0004
05 y;Cb;65,8;32,63;67,73;405,26;1,49;0,08;56,08;37,61;0,05;1,04;2;0,0002
05 y;Cb;58,3;42,82;66,79;374,4;1,36;0,08;56,04;41,11;0,06;0,57;2,8;0,0002
05 y;Cb;66,1;41,1;96,61;359,5;1,5;0,07;55,55;36,96;0,05;NA;1,85;0,0002
05 y;Cb;64,6;35,22;69,49;425,03;1,44;0,07;56,23;39,05;0,05;1,17;2,5;0,0004
05 y;Cb;62,3;33,11;71,82;417,64;1,43;0,08;56,1;39,32;0,05;1,13;2,7;0,0005
05 y;Cb;80,1;57,1;70,09;432,59;1,31;0,07;56,05;42,72;0,05;1,22;2,93;0,0006
05 y;Cb;58,9;35,18;77,15;407,02;1,25;0,06;55,78;44,66;0,05;1,03;2,16;0,0003
05 y;Cb;57,4;41,13;75,67;417,88;1,34;0,07;55,83;41,73;0,05;0,71;1,96;0,0002
05 y;Cb;46,7;48,57;77,45;422,64;1,24;0,06;55,95;45,27;0,05;0,26;1,5;0
05 y;Cb;70;38,68;86,58;364,24;1,55;0,08;55,59;35,77;0,05;0,6;2,95;0,0002
05 y;Cb;75,8;29,82;70,27;432,71;1,35;0,06;55,57;41,16;0,05;0,66;2,45;0,0005
05 y;Cb;65,7;47,73;84,23;384,92;1,43;0,08;56,5;39,6;0,06;0,65;2,4;0,0002
05 y;Cb;71,1;59,99;71,86;386,55;1,12;0,07;55,71;49,7;0,07;1,27;2,4;0,0005
05 y;Cb;50,8;50,23;94,39;415,57;1,35;0,08;55,93;41,43;0,06;0,79;3;0,0003
05 y;Cb;72,9;41,19;68,09;423,88;1,17;0,08;56,2;47,95;0,07;1,7;2,45;0,0003
05 y;Cb;70,9;44,31;66,58;405,15;1,24;0,06;56,21;45,47;0,05;1,32;3,2;0,0009
05 y;Cb;64,1;37,31;66,65;511,62;1,24;0,07;56,14;45,42;0,06;1,13;2,12;0,0002
05 y;Cb;65;50,03;77,41;399,04;1,31;0,07;55,79;42,52;0,05;1,15;3,1;0,0005
05 y;Cb;69,4;41,06;72,64;414,58;1,43;0,07;56,42;39,54;0,05;1,44;2,7;0,0003
05 y;Cb;58,7;45,36;101,57;404,85;1,24;0,07;55,91;45,23;0,06;1,06;2,4;0
05 y;Gg;60,4;91,02;182,27;270,66;2,8;0,3;53,34;19,03;0,11;2,12;3;0,0004
05 y;Gg;59,1;77,51;180,97;286,6;2,75;0,18;53,73;19,52;0,07;NA;NA;NA
05 y;Gg;41,5;52,16;115,68;372,56;2,7;0,19;55,52;20,56;0,07;0,63;1,46;0,0001
05 y;Gg;68,9;59,14;114,58;356,34;2,83;0,25;54,61;19,31;0,09;1,44;3,1;0,0004
05 y;Gg;67,9;115,76;129,24;335,05;2,19;0,22;53,41;24,37;0,1;1,77;3,25;0,0004
05 y;Gg;69,6;77,2;99,16;370,42;2,27;0,19;54,96;24,23;0,08;1,81;3,5;0,0007
05 y;Gg;89,1;79,25;114,99;324,93;2,51;0,24;54,32;21,64;0,1;2,31;3,5;0,0011
05 y;Gg;76;94,36;123,53;342,12;2,71;0,2;54,13;19,94;0,07;1,87;3,3;0,0006
05 y;Gg;71,1;66,57;154,96;294,73;2,77;0,19;53,35;19,29;0,07;1,11;3;0,0006
05 y;Gg;96,7;93,45;148,68;290,03;3,19;0,21;52,96;16,63;0,07;4,49;4;0,0012
05 y;Gg;89,2;89,68;114,49;335,63;3,03;0,21;54,17;17,87;0,07;1,1;1,75;0,0003
05 y;Gg;125,9;84,33;115,55;353,89;3,15;0,17;53,44;16,98;0,05;0,74;1,65;0,0003
05 y;Gg;98,9;125,74;132,42;289,78;3,38;0,21;53,63;15,88;0,06;1,22;2;0,0009
05 y;Gg;81,1;78,14;155,95;275,63;3,4;0,22;54,91;16,14;0,06;0,69;2;0,0003
05 y;Il;84,4;24,99;97,04;435,39;2,26;0,08;55,32;24,53;0,04;3,3;3,2;0,0013
05 y;Il;86,8;30,66;88,73;478,68;2,33;0,1;56,12;24,08;0,04;4,08;3,5;0,0008
05 y;Il;84,8;27,39;99,94;453,05;2,13;0,08;55,98;26,31;0,04;10,74;4,5;0,0045
05 y;Il;82,1;40,19;111,3;429,69;2,51;0,11;55,97;22,3;0,04;9,62;4;0,0021
05 y;Il;66,8;40,25;142,48;381,05;2,74;0,13;56,18;20,51;0,05;5,02;3,5;0,0019
05 y;Il;65,6;32,02;130,92;384,96;2,82;0,12;56,11;19,93;0,04;5,18;3;0,0018
05 y;Il;84,2;49,2;116,6;407,64;2,36;0,11;56,21;23,85;0,05;7,21;4,5;0,0042
05 y;Il;99;23,97;106,4;426,28;2,51;NA;56,13;22,36;NA;1,6;2,8;0,0011
05 y;Il;97,6;31,42;87,63;472,51;2,27;0,09;56,57;24,94;0,04;5,71;6,5;0,0015
05 y;Il;100,5;32,39;100,9;459,75;2,32;0,09;56,13;24,2;0,04;9,04;4,5;0,0041
05 y;Il;98;31,69;95,67;460,7;2,4;0,1;55,6;23,22;0,04;8,04;4;0,0033
05 y;Il;80,7;38,36;96,44;470,43;2,51;0,11;56,48;22,5;0,04;9,55;4;0,0022
05 y;Il;91,7;27,47;86,63;488,34;2,26;0,08;56,01;24,84;0,04;5,71;4;0,0019
05 y;Il;79,7;28,46;99,7;459,44;2,2;0,08;55,15;25,02;0,03;6,36;3,5;0,0031
05 y;Il;95,3;32,01;92,95;441,91;2,7;0,12;56,06;20,75;0,04;2,36;2,5;0,0012
05 y;Il;87,9;53,71;105,55;444,03;2,08;0,09;56,05;26,99;0,04;6,03;5;0,0023
05 y;Il;83;26,09;88,27;453,02;2,52;0,1;56,67;22,46;0,04;4,49;6;0,0012
05 y;Il;88,4;34,93;103,47;426,6;2,51;0,1;55,94;22,29;0,04;5,51;3;0,0018
05 y;Il;76,9;42,09;118,71;418,42;2,55;0,1;56;21,98;0,04;6,59;3,5;0,0014
05 y;Il;106,8;34,03;98,13;445,29;2,85;0,1;56,07;19,65;0,03;5,09;3;0,0007
05 y;Pg;27,3;148,27;227,28;282,29;2,26;0,17;55,18;24,47;0,07;4,69;3,5;0,004
05 y;Pg;26,1;105,93;251,32;264,89;2,62;0,2;55,45;21,13;0,08;7,63;6,5;0,0101
05 y;Pg;32,7;182,76;267,69;240,66;2,74;0,21;54,79;20;0,08;3,3;4,5;0,0068
05 y;Pg;24,6;199,03;162,37;318,23;2,51;0,17;55,13;21,96;0,07;2,98;3,5;0,0036
05 y;Pg;38,4;170,18;243,81;257,01;3,17;0,23;54,68;17,24;0,07;NA;4,5;0,0041
05 y;Pg;36,8;132,55;180;313,47;3,21;0,23;54,7;17,04;0,07;3,39;2,7;0,0056
05 y;Pg;32,1;169,25;169,05;322,14;2,7;0,2;54,93;20,34;0,07;2,54;3,5;0,0044
05 y;Pg;39;197,11;161,83;315,01;3,13;0,21;54,51;17,39;0,07;4,33;2,6;0,0036
05 y;Pg;27,4;107,58;167,24;317,22;3,02;0,21;54,65;18,1;0,07;2,83;4,5;0,0043
05 y;Pg;28,9;145,12;312,53;205,81;2,64;0,23;54,2;20,55;0,09;7,63;4,5;0,0077
05 y;Pg;27,9;166,65;224,68;270,79;2,51;0,18;54,77;21,82;0,07;2,36;3,8;0,0033
05 y;Pg;22,8;182,95;193,49;272,08;2,8;0,22;54,54;19,46;0,08;0;4;0,0051
05 y;Pg;30,8;212,71;222,79;267,38;2,45;0,18;54,84;22,42;0,07;5,51;2,2;0,0067
05 y;Pg;28,6;151,09;222,81;266,5;3,02;0,25;55,1;18,25;0,08;7,3;2,7;0,0068
05 y;Pg;24,5;169,01;144,83;325,53;2,19;0,16;54,33;24,8;0,07;3,63;2,5;0,0047
05 y;Pg;28,8;178,48;169,89;270,77;2,51;0,23;54,08;21,54;0,09;6,59;5;0,0093
05 y;Pg;22,7;125,17;251,98;235,48;2,7;0,23;54,38;20,13;0,09;4,71;5,5;0,0089
05 y;Pg;32;102,2;251,02;237,14;2,4;0,25;54,74;22,85;0,11;12,53;3,5;0,0094
05 y;Pg;30,4;94,71;215,95;295,62;2,42;0,16;53,79;22,22;0,06;9,25;4;0,0068
13 y;At;23,62;139,57;175,07;376,2;2,57;0,12;53,41;20,76;0,05;2,26;3,7;0,0007
13 y;At;25,9;135,66;120,5;441,68;2,62;0,15;54,03;20,59;0,06;45,41;15;0,0681
13 y;At;29,32;98,38;113,52;430,64;2,4;0,17;54,01;22,55;0,07;29,64;13;0,0451
13 y;At;22,58;126,43;116,04;454,35;2,13;0,13;54,15;25,45;0,06;13,56;10,5;0,0505
13 y;At;21,35;95,03;147,11;400,17;2,68;0,18;53,62;20,05;0,07;30,1;14;0,0431
13 y;At;26,08;112,54;137,48;406,88;2,45;0,17;53,72;21,96;0,07;29,67;15;0,059
13 y;At;23,38;113,42;132,55;404,59;2,51;0,13;54,5;21,71;0,05;72,06;14;0,111
13 y;At;25,55;93,67;130,8;414,31;2,38;0,16;54,47;22,87;0,07;27,55;12;0,0622
13 y;At;23,13;82,79;124,64;381,68;2,77;0,14;54,29;19,63;0,05;38,97;11;0,0751
13 y;At;14,77;78,03;94,99;393,55;1,94;0,12;54,53;28,17;0,06;16,84;8,5;0,0225
13 y;Cb;59;56,84;101;386,85;1,43;0,07;57,42;40,24;0,05;13,56;7;0,0176
13 y;Cb;39,4;43,98;111,73;346,09;1,35;0,07;56,14;41,58;0,05;9,45;6,5;0,0079
13 y;Cb;75,6;59,25;85,98;409,51;1,25;0,06;56,39;45,14;0,05;20,72;6;0,0095
13 y;Cb;64,5;44,43;83,08;375,67;1,35;0,06;56,44;41,81;0,05;16,96;9,5;0,0137
13 y;Cb;48,5;35,75;81;392;1,06;0,06;56,78;53,72;0,05;22,86;7;0,0124
13 y;Cb;51,5;55,1;90,72;358,88;1,12;0,05;55,61;49,61;0,04;14,76;6,5;0,0144
13 y;Cb;44,8;46,55;92,78;404,49;1,36;0,06;56,51;41,46;0,04;14,51;8;0,0156
13 y;Cb;69,4;61,61;91,93;390,14;1,17;0,06;56;47,78;0,05;13,84;7;0,0125
13 y;Cb;46,9;40,85;91,58;385,05;1,06;0,05;56,34;53,3;0,05;11,92;5;0,0046
13 y;Cb;63,2;51,29;96,86;374,89;1,35;0,06;56,17;41,61;0,05;12,36;6;0,0059
13 y;Cb;63,6;46,5;81,3;401,08;1,24;0,06;56,08;45,37;0,05;21,2;7;0,0209
13 y;Cb;42,2;49,66;96,04;391,11;1,3;0,08;55,98;43,09;0,06;19,59;7;0,0135
13 y;Cb;54,5;54,86;78,12;430,1;1,05;0,05;56,63;54,19;0,05;28,73;6,5;0,0156
13 y;Cb;43,4;60,13;95,06;406,27;1,24;0,06;56,53;45,74;0,05;14,85;6;0,0101
13 y;Cb;49,8;45,59;92,64;403,33;0,85;0,05;56,37;66;0,06;5,51;4,5;0,0025
13 y;Cb;40,5;41,82;107,8;377,17;1,11;0,06;56,41;50,91;0,05;20,22;5,7;0,0063
13 y;Cb;45,8;43,54;109,87;353,48;1,34;0,07;56,46;42,19;0,05;13,85;5,5;0,0065
13 y;Cb;52,4;43,61;100,05;395,29;1,25;0,05;56,35;45,12;0,04;11,3;5;0,005
13 y;Gg;88,8;99,01;153,58;346,1;2,89;0,2;54,54;18,86;0,07;34,7;7,5;0,0213
13 y;Gg;98,2;60,85;141,62;316,87;3,91;0,2;54,44;13,92;0,05;34,07;9,5;0,0171
13 y;Gg;91,7;58,38;140,86;313,76;3,07;0,18;53,67;17,48;0,06;34,38;8;0,0124
13 y;Gg;81,2;97,41;167,36;290,66;3,35;0,2;54,18;16,17;0,06;35,72;8;0,0136
13 y;Gg;95,8;77,53;141,53;293,11;3,4;0,2;53,31;15,67;0,06;33,16;9;0,0205
13 y;Gg;92,9;78,68;114,32;331,43;3,27;0,23;54,5;16,65;0,07;87,14;8;0,0739
13 y;Gg;74,2;81,35;163,33;303,63;3,15;0,19;54,38;17,28;0,06;35,21;7;0,0136
13 y;Gg;71;56;154,55;291,89;3,08;0,21;54,06;17,54;0,07;16,25;8;0,0083
13 y;Gg;82,2;58,49;128,56;317,74;3,53;0,25;54,49;15,44;0,07;55,48;8,5;0,028
13 y;Gg;112,1;47,31;115,59;347,7;3,91;0,27;55,15;14,1;0,07;47,1;11;0,0629
13 y;Gg;81,9;69,73;167,77;273,46;3,98;0,24;53,84;13,55;0,06;27,2;8;0,0069
13 y;Gg;77,9;45,22;156,81;295,96;2,89;0,22;53,72;18,57;0,07;31,42;10;0,0451
13 y;Gg;78,9;77,91;154,97;294,96;3,26;0,23;53,64;16,45;0,07;17,22;6,5;0,0113
13 y;Gg;92,9;69,14;150,9;331,73;3,13;0,19;54,2;17,29;0,06;22,28;8;0,0125
13 y;Gg;89,9;63,33;171,28;282,72;3,02;0,2;53,92;17,86;0,07;13,52;6,5;0,0093
13 y;Gg;63,1;71,56;168,62;285,35;2,83;0,21;53,02;18,75;0,07;13,07;5,5;0,0086
13 y;Gg;80,5;78,96;142,22;328,11;3,21;0,2;54,66;17,03;0,06;4,71;7;0,004
13 y;Gg;75,2;64,61;164,13;313,86;3,03;0,17;54,29;17,91;0,06;11,87;7;0,0059
13 y;Gg;65,4;63,01;158,3;315,53;3,22;0,16;53,78;16,68;0,05;5,42;6;0,0034
13 y;Gg;77,6;66,13;163,55;297,8;3,52;0,2;53,51;15,22;0,06;16,33;7;0,0092
13 y;Gg;65,3;78,84;173,54;273,1;3,27;0,17;53,05;16,2;0,05;23,31;9;0,0195
13 y;Il;101,4;31,45;73,95;481,77;2,45;0,1;54,83;22,42;0,04;23,55;9,5;0,0389
13 y;Il;76,3;37,16;116,02;413,73;2,61;0,11;55,82;21,37;0,04;53,38;10;0,0602
13 y;Il;91,8;37,93;104,51;394,74;2,38;0,1;56,15;23,57;0,04;22,37;8,5;0,0309
13 y;Il;80,7;35,66;89,72;442,14;2,13;0,1;56,6;26,6;0,05;39,5;13;0,0594
13 y;Il;60,9;39,35;133,32;392,6;2,89;0,13;56,48;19,53;0,05;41,37;13;0,0561
13 y;Il;63,8;32,03;98,02;448,31;2,77;0,12;56,56;20,46;0,04;48,87;12;0,0795
13 y;Il;88,9;37,16;97,08;424,31;2,33;0,11;55,99;24,02;0,05;76,11;13;0,1148
13 y;Il;83;28,21;97,84;442,81;2,41;0,1;55,39;23;0,04;42,08;11;0,0596
13 y;Il;59,6;37,81;105,96;434,82;2,7;0,13;56,65;20,97;0,05;55,89;14;0,0818
13 y;Il;65,1;43,05;109,37;449,51;2,43;0,11;56,23;23,11;0,04;35,11;11;0,073
13 y;Il;88,4;23,06;76,78;459,64;2,41;0,09;55,89;23,21;0,04;82,15;11;0,1235
13 y;Il;77,5;31,53;101,38;448,1;2,57;0,11;56,26;21,86;0,04;35,8;12;0,0427
13 y;Il;97,9;32,1;92,24;439,73;2,32;0,09;56,38;24,31;0,04;47,69;12;0,0681
13 y;Il;81,4;26,21;98,68;434,67;2,77;0,11;56,08;20,28;0,04;28,98;11;0,0514
13 y;Il;77,6;39,06;116,57;435,81;2,38;0,1;56,45;23,7;0,04;52,75;10;0,0802
13 y;Il;85,3;29,29;94,75;465,13;2,43;0,09;55,09;22,64;0,04;4,32;5;0,004
13 y;Il;78,7;23,25;105,51;440,51;2,26;0,08;55,16;24,46;0,04;9,33;6;0,0044
13 y;Il;70;34,94;112,53;449,95;2,61;0,1;54,6;20,9;0,04;26,12;8;0,0244
13 y;Il;69,4;24,61;108,21;419,79;2,57;0,1;55,21;21,46;0,04;18,65;6;0,0726
13 y;Il;78,9;40,5;124,71;418,79;2,55;0,09;55;21,59;0,04;20,42;7;0,0095
25 y;At;11,8;92,49;159,86;323,35;2,4;0,2;55,47;23,16;0,08;20,41;11;0,0272
25 y;At;20,42;93,48;154,51;343,33;3,08;0,2;56,83;18,43;0,06;24,18;10;0,0203
25 y;At;17,55;111,08;197,42;297,35;3,06;0,22;55,13;18,03;0,07;30,65;12;0,0487
25 y;At;13,65;134,19;213,4;288,2;3,21;0,26;54,83;17,08;0,08;10,05;13;0,0405
25 y;At;18,15;99,5;200,39;307,48;2,7;0,2;55,09;20,4;0,07;10,05;13;0,0297
25 y;At;20,27;103,2;210,09;300,32;3,26;0,26;54,51;16,71;0,08;8,76;11;0,0175
25 y;At;19,9;146,48;308,9;201,88;3,72;0,26;52,55;14,13;0,07;5,02;9;0,0068
25 y;At;19,48;109,64;192,43;306,55;3,53;0,25;54,85;15,54;0,07;23,83;13;0,043
25 y;At;14,75;83,27;186,54;331,16;2,57;0,21;55,23;21,47;0,08;13,74;11;0,0163
25 y;At;18,72;112,55;218,08;307,58;3,27;0,28;54,87;16,76;0,08;65,94;14;0,0598
25 y;At;17,93;87,34;190,37;317,21;3,22;0,2;54,83;17,01;0,06;21,03;11;0,0209
25 y;At;19,98;72,49;208,53;299,23;3,07;0,18;54,82;17,86;0,06;19,29;8;0,0172
25 y;At;24,75;104,05;179,21;331,98;2,96;0,2;55,29;18,7;0,07;4,69;8;0,0056
25 y;At;16,68;133,82;218,6;314,93;2,77;0,18;55,29;20;0,07;3,3;5,5;0,0044
25 y;At;15,2;128,79;177,24;299,3;2,77;0,2;55,25;19,98;0,07;10,36;14;0,0155
25 y;At;13,2;84,26;193,08;289,2;2,89;0,26;54,52;18,85;0,09;20,22;15;0,0298
25 y;At;16,7;95,37;199,47;321,38;2,45;0,21;55,08;22,52;0,09;50,21;20;0,0579
25 y;At;13,93;103,38;192,41;288,92;3,27;0,23;55,13;16,84;0,07;17,08;11;0,0117
25 y;At;14,35;87,3;182,68;302,05;3,4;0,23;55,34;16,27;0,07;22,47;11;0,0324
25 y;At;17,57;83,71;151,13;337,84;3,4;0,23;55,73;16,38;0,07;18,84;10;0,0188
25 y;Cb;24,1;53,69;164,56;281;1,62;0,12;56,06;34,65;0,07;12,55;8;0,0051
25 y;Cb;23,4;57,1;83,31;388,12;1,11;0,05;56,23;50,75;0,05;19,63;7;0,0217
25 y;Cb;19,9;41,16;143,85;305,12;1,35;0,09;55,88;41,39;0,07;8,24;5;0,0083
25 y;Cb;32,9;36,03;97,67;337,07;1,36;0,08;56,29;41,3;0,06;10,05;5;0,004
25 y;Cb;19,3;54,6;110,8;312,09;1,24;0,08;56,31;45,56;0,06;14,44;12;0,0254
25 y;Cb;25,6;58,5;126,43;316,25;1,49;0,09;56,02;37,57;0,06;8,03;10;0,0132
25 y;Cb;25,9;64,11;140,05;304,23;1,35;0,09;55,92;41,42;0,07;13,19;8;0,0111
25 y;Cb;28,8;56,49;125,47;309,66;1,43;0,11;55,91;39,18;0,08;10,74;9;0,0066
25 y;Cb;27,6;47,51;108,49;328,08;1,24;0,09;56,16;45,44;0,07;31,77;14;0,0292
25 y;Cb;29,9;54,58;146,06;311,66;1,36;0,1;55,65;40,83;0,08;17,89;7;0,0075
25 y;Cb;16,5;48,51;124,28;339,3;1,21;0,09;56,11;46,37;0,07;25,62;10;0,0142
25 y;Cb;41,1;61,22;106,01;338,07;1,49;0,07;56,02;37,57;0,05;13,52;11;0,0163
25 y;Cb;32,3;36,18;124,6;343,65;1,43;0,08;55,75;39,06;0,06;14,51;9;0,0101
25 y;Cb;20,9;46,67;105,62;345,62;1,21;0,08;56,12;46,38;0,07;23,24;12;0,0124
25 y;Cb;23,1;46,2;111,83;350,56;1,43;0,08;55,97;39,22;0,06;19,19;11;0,011
25 y;Cb;10,9;40,17;112,73;329,55;1,19;0,08;56,13;47,37;0,07;40,44;12;0,0225
25 y;Cb;19,1;44,5;106,75;364,91;1,24;0,09;56,03;45,33;0,07;31,4;9;0,0112
25 y;Cb;8;46,72;105,54;330,52;1,16;0,09;56,19;48,48;0,08;24,61;14;0,0567
25 y;Cb;31,1;44,45;105,99;330,12;1,49;0,09;55,89;37,48;0,06;6,59;8;0,0037
25 y;Cb;34,8;57,61;97,16;360,44;1,63;0,1;56;34,34;0,06;14,85;10;0,0129
25 y;Gg;77;89,05;134,5;284,08;3,07;0,21;53,76;17,51;0,07;48,21;7;0,0182
25 y;Gg;77,6;65,07;140,31;298,59;3,05;0,25;53,56;17,59;0,08;54,71;11;0,0539
25 y;Gg;54,1;83,7;193,62;247,89;3,64;0,26;52,38;14,37;0,07;24,96;9;0,0156
25 y;Gg;70,7;67,84;165,36;273,56;3,27;0,25;52,84;16,14;0,08;47,56;8;0,0319
25 y;Gg;63,5;93,28;119,95;440,78;3,03;0,23;54,69;18,04;0,07;25,43;9;0,0107
25 y;Gg;79,6;77,01;170,23;267,14;3,78;0,24;53,43;14,12;0,06;31,87;11;0,0087
25 y;Gg;66,5;68,39;208,91;243,11;3,77;0,25;53,28;14,13;0,06;24,49;9;0,0124
25 y;Gg;66,4;54,85;191,93;249,01;3,27;0,25;53,31;16,28;0,08;15,53;8;0,0069
25 y;Gg;64,2;88,65;193,63;254,57;3,25;0,24;53,51;16,47;0,07;20,41;8;0,0099
25 y;Gg;62;66;184,88;267,3;3,12;0,18;52,92;16,96;0,06;27,63;8;0,0187
25 y;Gg;54,8;113,3;205,34;223,67;3,34;0,2;51,9;15,55;0,06;28,69;9;0,0232
25 y;Gg;48,7;53,38;173,2;260,62;2,77;0,18;53,62;19,39;0,06;45,92;10;0,0272
25 y;Gg;62,3;70,14;269,03;261,84;3,39;0,24;52,91;15,61;0,07;43,52;10;0,0288
25 y;Gg;50,9;130,83;241,19;213,64;3,7;0,34;51,45;13,92;0,09;32,97;6,5;0,01
25 y;Gg;53,9;71,26;209;260,16;3,72;0,29;53,06;14,26;0,08;12,72;8;0,0051
25 y;Gg;63,6;75,57;190,14;260,49;3,47;0,26;52,84;15,25;0,07;29,54;8;0,0202
25 y;Gg;50,6;64,3;176,59;267,95;3,53;0,24;52,87;14,98;0,07;23,68;7;0,0107
25 y;Gg;63,2;82,67;185,21;256,59;3,54;0,24;52,67;14,87;0,07;15,19;5,5;0,0036
25 y;Gg;69,1;40,42;177,18;263,12;3,57;0,18;53,34;14,95;0,05;19,5;10;0,0115
25 y;Gg;61;77,66;170,54;236,74;3,22;0,25;52,93;16,42;0,08;64,07;11;0,0331
25 y;Il;63,9;20,91;99,28;468,94;2,64;NA;56,54;21,44;NA;13,07;16;0,1213
25 y;Il;103,1;18,53;90,31;464,29;2,8;NA;55,77;19,89;NA;13,19;13;0,0213
25 y;Il;58,8;35,04;121,54;428,07;2,83;NA;56,04;19,81;NA;24,49;14;0,0243
25 y;Il;68,1;19,79;105,03;422,81;2,62;NA;56,23;21,43;NA;50;17;0,1183
25 y;Il;71,8;22,75;106,46;485,03;3,16;NA;56,36;17,84;NA;67,35;21;0,1717
25 y;Il;71,6;31,75;98,98;445,09;3,06;NA;56,26;18,4;NA;14,48;15;0,0324
25 y;Il;69,9;24,27;96,32;493,03;2,64;NA;56,38;21,38;NA;41,84;21;0,1848
25 y;Il;61,7;26,22;111,65;444,14;2,88;NA;56,31;19,56;NA;19,59;14;0,0474
25 y;Il;48,3;19,91;85,79;489,07;2,38;NA;56,72;23,81;NA;32,83;18;0,0766
25 y;Il;64,1;22,45;99,89;459,17;2,94;NA;56,34;19,14;NA;69,66;20;0,111
25 y;Il;66,7;20,95;77,84;524,76;2,51;NA;56,07;22,34;NA;16,25;14;0,018
25 y;Il;72;25,84;90,78;461,42;2,89;NA;56,5;19,54;NA;35,33;17;0,1058
25 y;Il;58,4;14,71;79,68;523,22;2,51;NA;55,52;22,12;NA;32,64;22;0,0741
25 y;Il;68,2;21,11;103,19;470,61;2,91;NA;56,53;19,46;NA;62,8;20;0,1016
25 y;Il;66,1;14,1;85,62;548,87;2,45;NA;55,69;22,77;NA;34;20;0,0871
25 y;Pg;31,4;76,47;198,91;315,15;2,51;0,13;53,65;21,37;0,05;10,74;10;0,016
25 y;Pg;36,8;83,82;178;306,97;2,64;0,14;54,51;20,67;0,05;9,84;11;0,0158
25 y;Pg;34,1;151,69;165,65;312,15;2,38;0,16;54,4;22,84;0,07;9,18;9;0,0137
25 y;Pg;32,1;69,24;153,5;324,9;2,17;0,13;54,86;25,33;0,06;12,53;11;0,0166
25 y;Pg;26,9;165,04;201,62;275,32;2,57;0,16;54,19;21,06;0,06;5,5;8,5;0,0113
25 y;Pg;35,5;121,01;174,46;309,7;2,13;0,13;53,4;25,09;0,06;7,06;11;0,0135
25 y;Pg;33,9;89,89;171,07;275,49;2,41;0,12;53,51;22,22;0,05;11,87;15;0,0328
25 y;Pg;33;89,5;120,3;363,64;2,4;0,11;54,71;22,84;0,05;20,02;16;0,0783
25 y;Pg;28,5;162,97;204,5;282,56;2,64;0,12;54,53;20,68;0,05;11,04;10;0,0149
25 y;Pg;36,9;84,38;166,88;309,06;1,76;0,13;54,66;31,09;0,07;12,43;10;0,0181
