Age;Species;CCI;LA;SLA;LDMC;LNC;LPC;LCC;CN;PN;Crown;Height;Basal
05 y;At;17,37;128,16;157,52;361,62;2,26;0,18;52,32;23,2;0,08;25,59;6;0,0295
05 y;At;21,82;147,81;148,93;365,03;2,59;0,16;54,27;20,98;0,06;10,72;5,5;0,0049
05 y;At;33,68;111,32;141,78;348,5;2,38;0,17;54,1;22,71;0,07;16,23;5,5;0,0086
05 y;At;35,32;113,91;120,77;365,2;2,31;0,16;54,87;23,79;0,07;14,7;5,5;0,0066
05 y;At;17,98;120,24;163,53;381,32;2,4;0,12;54,88;22,92;0,05;16,49;6,5;0,0151
05 y;At;13,83;151,21;186,94;360,48;2,2;0,14;54,84;24,88;0,06;12,18;6;0,0039
05 y;At;17,28;117,99;179,72;352,69;2,06;0,18;54,57;26,44;0,09;17,14;6,5;0,0094
05 y;At;14,9;112,27;145,45;371;1,99;0,13;54,95;27,65;0,06;21,67;7;0,0227
05 y;At;16,83;114,76;150,06;353,71;1,75;0,15;53,19;30,48;0,08;16,96;7;0,0124
05 y;At;18,7;106,35;133,82;406,72;2,05;0,15;55,56;27,09;0,07;8,81;3,4;0,0025
05 y;At;26,72;111,91;125,53;405,53;1,94;0,16;54,36;28,08;0,08;18,82;5,5;0,0221
05 y;At;14,27;115,69;125,4;399,17;1,75;0,14;53,37;30,59;0,08;19,22;6;0,0164
05 y;At;18,73;96,03;132,72;385,62;2,51;0,17;54,63;21,76;0,07;24,9;6,5;0,0258
05 y;At;20,82;122,99;123,94;418,45;2,14;0,18;55,26;25,82;0,08;16,01;5;0,0084
05 y;At;19,38;94,93;152,32;352,49;2,24;0,17;55,13;24,59;0,07;24,18;9;0,0224
05 y;At;18,77;130,42;130,65;388,32;1,68;0,35;52,23;31,05;0,21;16,74;6;0,0169
05 y;At;17,77;151,07;133,01;412,02;2,06;0,13;54,12;26,22;0,06;13,19;7;0,0155
05 y;At;17,17;122,64;139,77;360,88;1,94;0,27;51,91;26,81;0,14;16,49;7;0,0132
05 y;At;14,85;118,66;127,28;378,57;1,95;0,28;53;27,19;0,14;14,51;5;0,0074
05 y;At;27,2;108,48;169,12;364,56;2,41;0,21;53,25;22,11;0,09;9,42;5;0,0068
05 y;At;13,6;113,92;133,12;405,05;2,38;0,25;54,66;22,95;0,1;14,08;7;0,0094
05 y;Cb;49,2;47,74;120,89;345,57;1,24;NA;56,11;45,39;NA;2,26;3;0,0011
05 y;Cb;55,2;49,91;107,46;392,6;1,43;NA;56,24;39,41;NA;2,14;2,8;0,0007
05 y;Cb;50,6;55,55;124,68;327,07;1,36;0,08;56,29;41,3;0,06;2,4;3;0,0006
05 y;Cb;60,7;41,04;103,48;331,55;1,53;0,08;56,38;36,87;0,05;1,33;3;0,0004
